"","time","siteID","obs_flag","forecast","data_assimilation","statistic","gcc_90"
"1",2021-04-26,"BART",2,1,0,"mean",0.342885273300563
"2",2021-04-26,"BART",2,1,0,"sd",0.027959520517445
"3",2021-04-27,"BART",2,1,0,"mean",0.342041510742571
"4",2021-04-27,"BART",2,1,0,"sd",0.0255008004672289
"5",2021-04-28,"BART",2,1,0,"mean",0.343386682365042
"6",2021-04-28,"BART",2,1,0,"sd",0.0281456985511454
"7",2021-04-29,"BART",2,1,0,"mean",0.342788326684376
"8",2021-04-29,"BART",2,1,0,"sd",0.0266932210631784
"9",2021-04-30,"BART",2,1,0,"mean",0.343758533872152
"10",2021-04-30,"BART",2,1,0,"sd",0.0268389136530234
"11",2021-05-01,"BART",2,1,0,"mean",0.343100147281792
"12",2021-05-01,"BART",2,1,0,"sd",0.0271323736556513
"13",2021-05-02,"BART",2,1,0,"mean",0.342320609063542
"14",2021-05-02,"BART",2,1,0,"sd",0.0272624959379365
"15",2021-05-03,"BART",2,1,0,"mean",0.343580208952907
"16",2021-05-03,"BART",2,1,0,"sd",0.0276301475379377
"17",2021-05-04,"BART",2,1,0,"mean",0.342945835095143
"18",2021-05-04,"BART",2,1,0,"sd",0.026636984256942
"19",2021-05-05,"BART",2,1,0,"mean",0.34330564404397
"20",2021-05-05,"BART",2,1,0,"sd",0.0277683337705345
"21",2021-05-06,"BART",2,1,0,"mean",0.342202999419757
"22",2021-05-06,"BART",2,1,0,"sd",0.027681601860051
"23",2021-05-07,"BART",2,1,0,"mean",0.34281518826941
"24",2021-05-07,"BART",2,1,0,"sd",0.0268671380199287
"25",2021-05-08,"BART",2,1,0,"mean",0.342120611656685
"26",2021-05-08,"BART",2,1,0,"sd",0.0263202413216815
"27",2021-05-09,"BART",2,1,0,"mean",0.343087467704215
"28",2021-05-09,"BART",2,1,0,"sd",0.0271000067133481
"29",2021-05-10,"BART",2,1,0,"mean",0.343208296434404
"30",2021-05-10,"BART",2,1,0,"sd",0.0263118336387398
"31",2021-05-11,"BART",2,1,0,"mean",0.343659728527836
"32",2021-05-11,"BART",2,1,0,"sd",0.0270672199277935
"33",2021-05-12,"BART",2,1,0,"mean",0.341770656214521
"34",2021-05-12,"BART",2,1,0,"sd",0.0272393467645667
"35",2021-05-13,"BART",2,1,0,"mean",0.344386955282709
"36",2021-05-13,"BART",2,1,0,"sd",0.0259993647714871
"37",2021-05-14,"BART",2,1,0,"mean",0.341427880062524
"38",2021-05-14,"BART",2,1,0,"sd",0.0264428712437319
"39",2021-05-15,"BART",2,1,0,"mean",0.34240144791982
"40",2021-05-15,"BART",2,1,0,"sd",0.0274660019460675
"41",2021-05-16,"BART",2,1,0,"mean",0.342034059986966
"42",2021-05-16,"BART",2,1,0,"sd",0.0268327923481288
"43",2021-05-17,"BART",2,1,0,"mean",0.342136749158656
"44",2021-05-17,"BART",2,1,0,"sd",0.026183926703765
"45",2021-05-18,"BART",2,1,0,"mean",0.342586694602388
"46",2021-05-18,"BART",2,1,0,"sd",0.0257898884991505
"47",2021-05-19,"BART",2,1,0,"mean",0.342432862055246
"48",2021-05-19,"BART",2,1,0,"sd",0.027122457305089
"49",2021-05-20,"BART",2,1,0,"mean",0.343139621071774
"50",2021-05-20,"BART",2,1,0,"sd",0.0270463498271739
"51",2021-05-21,"BART",2,1,0,"mean",0.342229126238806
"52",2021-05-21,"BART",2,1,0,"sd",0.0267204040471962
"53",2021-05-22,"BART",2,1,0,"mean",0.341950044313808
"54",2021-05-22,"BART",2,1,0,"sd",0.0267523717841576
"55",2021-05-23,"BART",2,1,0,"mean",0.343011807396165
"56",2021-05-23,"BART",2,1,0,"sd",0.0269284345322751
"57",2021-05-24,"BART",2,1,0,"mean",0.345804396098577
"58",2021-05-24,"BART",2,1,0,"sd",0.0282638414223621
"59",2021-05-25,"BART",2,1,0,"mean",0.343713484431036
"60",2021-05-25,"BART",2,1,0,"sd",0.0278657532432389
"61",2021-05-26,"BART",2,1,0,"mean",0.343736546498691
"62",2021-05-26,"BART",2,1,0,"sd",0.0263824869729515
"63",2021-05-27,"BART",2,1,0,"mean",0.343857508884524
"64",2021-05-27,"BART",2,1,0,"sd",0.0267638118653885
"65",2021-05-28,"BART",2,1,0,"mean",0.34077954731882
"66",2021-05-28,"BART",2,1,0,"sd",0.026600025147004
"67",2021-05-29,"BART",2,1,0,"mean",0.342583724211618
"68",2021-05-29,"BART",2,1,0,"sd",0.02702946268246
"69",2021-05-30,"BART",2,1,0,"mean",0.341146090729573
"70",2021-05-30,"BART",2,1,0,"sd",0.0269170625287787
"71",2021-04-26,"CLBJ",2,1,0,"mean",0.405369754670818
"72",2021-04-26,"CLBJ",2,1,0,"sd",0.02820220812715
"73",2021-04-27,"CLBJ",2,1,0,"mean",0.404679680251607
"74",2021-04-27,"CLBJ",2,1,0,"sd",0.0272183206055038
"75",2021-04-28,"CLBJ",2,1,0,"mean",0.40500686404089
"76",2021-04-28,"CLBJ",2,1,0,"sd",0.0273658299187162
"77",2021-04-29,"CLBJ",2,1,0,"mean",0.406041631488316
"78",2021-04-29,"CLBJ",2,1,0,"sd",0.0265111206543505
"79",2021-04-30,"CLBJ",2,1,0,"mean",0.406602465169874
"80",2021-04-30,"CLBJ",2,1,0,"sd",0.0263554660971938
"81",2021-05-01,"CLBJ",2,1,0,"mean",0.406682373503276
"82",2021-05-01,"CLBJ",2,1,0,"sd",0.0262787586342238
"83",2021-05-02,"CLBJ",2,1,0,"mean",0.40393570148468
"84",2021-05-02,"CLBJ",2,1,0,"sd",0.0274617068057688
"85",2021-05-03,"CLBJ",2,1,0,"mean",0.40574340779971
"86",2021-05-03,"CLBJ",2,1,0,"sd",0.0271358250662769
"87",2021-05-04,"CLBJ",2,1,0,"mean",0.405668232537633
"88",2021-05-04,"CLBJ",2,1,0,"sd",0.027583921218388
"89",2021-05-05,"CLBJ",2,1,0,"mean",0.405464705303963
"90",2021-05-05,"CLBJ",2,1,0,"sd",0.0268389942575741
"91",2021-05-06,"CLBJ",2,1,0,"mean",0.405436486162969
"92",2021-05-06,"CLBJ",2,1,0,"sd",0.026742641932321
"93",2021-05-07,"CLBJ",2,1,0,"mean",0.405602030496322
"94",2021-05-07,"CLBJ",2,1,0,"sd",0.0265049338411151
"95",2021-05-08,"CLBJ",2,1,0,"mean",0.405230969669759
"96",2021-05-08,"CLBJ",2,1,0,"sd",0.0271250929082556
"97",2021-05-09,"CLBJ",2,1,0,"mean",0.40352387933717
"98",2021-05-09,"CLBJ",2,1,0,"sd",0.0268097355153099
